,pobreza,P01F03,P15B02,P15B04,P15B06A,P13A02A,P06B01,P06B10A,P06B10B,P09A03B,P09A03C,P09B02B,P09B02C,P09F03B,P09F03C,P09F04B,P09F04C,P09F05B,P09F05C,P09F06B,P09F06C,P09F07B,P09F07C,P09F08B,P09F08C,P09F09B,P09F09C,P10B01,P10B08,P10B20B,P11A05B,P11A06B
2499,Pobre no extr.,0.0,0.0,0.0,0.0,0.0,5,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,25.0,0.3333333333333333,500.0,0.0,0.0,0.0
2500,Pobre no extr.,0.0,0.0,0.0,0.0,0.0,7,0.0,4.428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.285714285714286,12.857142857142858,0.42857142857142855,914.2857142857143,0.0,0.0,200.0
2501,No pobre,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,1.0,2550.0,0.0,0.0,0.0
2502,No pobre,0.0,0.0,0.0,0.0,1.0,5,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,0.4,0.0,0.0,0.0,0.0
2503,No pobre,0.0,0.0,0.0,0.0,0.0,3,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1633.3333333333333
2504,No pobre,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.3333333333333333,1166.6666666666667,0.0,0.0,0.0
2505,Pobre no extr.,0.0,0.0,0.0,0.0,0.0,6,0.0,10.0,0.0,0.0,0.0,10.0,0.0,3.3333333333333335,1.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4444444444444444,6.666666666666667,0.1111111111111111,333.3333333333333,0.0,0.0,0.0
2506,Pobre no extr.,0.0,0.0,0.0,0.0,0.0,6,0.0,15.0,0.0,0.0,0.0,15.0,0.125,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.625,15.0,0.25,500.0,0.0,0.0,93.75
2507,Pobre no extr.,0.0,0.0,0.0,0.0,0.0,3,0.25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,250.0,0.0
2508,No pobre,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,1100.0,0.0,0.0,0.0
2509,No pobre,0.0,0.0,0.0,0.0,0.0,2,0.0,10.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
2510,No pobre,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,1500.0,0.0,0.0,0.0
2511,No pobre,0.0,0.0,0.0,0.0,1.0,4,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,0.0,0.5,0.0,0.0,0.0,750.0
2512,Pobre ext.,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.777777777777779,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7777777777777777,2.4444444444444446,0.4444444444444444,755.5555555555555,0.0,0.0,0.0
2513,No pobre,0.0,0.0,0.0,0.0,0.0,3,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,0.0,0.3333333333333333,866.6666666666666,0.0,0.0,0.0
2514,Pobre ext.,50000.0,0.0,0.0,0.0,2.0,3,0.0,6.25,0.0,0.0,0.0,0.0,0.0,3.75,3.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0
2515,No pobre,0.0,0.0,0.0,0.0,0.0,6,0.0,14.166666666666666,0.0,0.0,0.0,0.0,0.0,10.0,2.3333333333333335,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.0,0.3333333333333333,916.6666666666666,0.0,800.0,0.0
2516,Pobre no extr.,0.0,0.0,0.0,0.0,0.0,3,0.0,3.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.2,480.0,0.0,0.0,0.0
